かむかむしんしんのことどう思いますか？,私はとてもいい親友だと思っています！ 相談も乗ってくれるし！
逆にエッチなのぁちゃん描いてもいいでしょうか？,……え？！！！\(//Д//)/ そ、それはみ、見てみたい……ぅ 出来上がったらDMに投げてくださいっ お願いしますっっ(*´ｰ`*人)
夏とか汗の量エグくないですか？,えぐいです……(；´Д｀)
わざわざ山梨からとしまえんに 来るんですか？,はい 行きますけど
浮気ですか？,誰と？！！
わたしもいま、片思い中です... ねろさんの恋、叶うといいですね！,誰に片思いしてるのか こっそり教えてください( ͡° ͜ʖ ͡° ) お互い 思いが届くことを祈りましょう！(❁´ω`❁)
着ぐるみさん達に踏まれたいって思うのっておかしいんでしょうか…？,全然おかしくないですよ！！ 私ものぁとSIOに踏まれたい！ｗｗｗ
1時間くらいぎゅーしたい,1時間だけでいいんですか？(*´∇｀*)
彼氏さんと2人で遊ぶ時はなんて呼びあってるんですか？,まだ 名前で呼びあったことないですなぁ(´・ω・｀)
調子のんな,これは質問ではないぞ(*´σｰ｀)
好きな海の生き物は何ですか？,シードラゴンです
高校生です。早く着ぐるみを着たいのがやまやまなのですが… お金がありません…(苦笑) どうすればいいでしょうか？,そればかりは今は我慢してバイトして稼ぐしかありません…… 親に買ってもらうなんて嫌でしょう？
もふもふ最高だよね！,はい！！最高です！！！ もう 最高より最高なのにその上の言葉が見つかりません！！
11/10にデザフェスへいくのですが、どこの何時ごろにのぁちゃんに会えますでしょうか！？,土曜日だと一応予定では設営が出来たらのぁを呼ぼうかなぁと思ってます！ うろうろするかもしれないですが基本ブースにいると思うので ブースに来てください(❁´ω`❁)
着ぐるみ界隈の問題児って 千葉住みが多い気がするんだけど気のせい？,そ、そうなの？(；´Д｀)
ハッピーハロウィン！ 裏垢復活されてる！またイラスト楽しみにしてます！,裏垢でイタズラされたいんですね( ͡° ͜ʖ ͡° )
初体験（獣化）のときは（ファスナー締めるのは）痛かったですか！？(*´ω｀),どういうことかよくわかんないですけど 髪の毛巻き込まれると痛いですねｗｗｗ
色々準備してるみたいですしラザウォーク頑張ってくださいね！,ありがとうございます( o̴̶̷᷄﹏o̴̶̷̥᷅ ) 当日上手くできるかわからないですが精一杯頑張りますっ
SIO君もふりたい,モフろうっ！！！
好きな人とデートに行くなら、どんなところが嬉しいですか？,やっぱりディズニーランドかなぁ あ、でもお家でまったりもいいよね(❁´ω`❁)
恋人と別れた時の立ち直り方法を 教えてください...,そんなやつのために考えてる時間が勿体ないと思うのだ
尊すぎてリプ送れぬ…,いや、むしろ沢山送ってください( ˙-˙ )
のぁの誕生秘話教えて下さい！,な、ながくなるぞぉ！
二次方程式の解の公式って偉そうじゃね,懐かしい言葉を聞きました( ˘ω˘ )
金てのは腹のたしになるのかい？,まぁお金ないとご飯食べられないですしね(´・ω・｀)
好きな着ぐるみさんをモフモフしたとき、エッチな気分になることはありますか？？,確かに着ぐるみさんに撫で撫でされると凄い気持ちいいです！ でもその気持ちいいは心地いいってことで性的な意味じゃないですよ！！ｗｗ
好きなキャラやオーナーさんはいますか？？,それはもう皆違って皆いい！ って感じですね！ 結構今は海外の方のキャラがすきです！！
イラストは何で描いてますか？ パソコンでペンタブですか？,完全にアナログ派でしたがPhotoshopでイラストを描いたりしてます でも今はほとんどiPadで描いてますね！
ボディはSIO、ヘッドはのぁちゃん、そしてSIOのヘッドを小脇に抱え、「のぁちゃんがSIOの着ぐるみを着ている」,それ面白そうですね！！ 機会があればやってみますｗｗｗ
ちんちん咥えるの好きですか！？,(´^ω^｀)ﾌﾞﾌｫｯwww
擬人化したいケモノキャラはいますか？,ノイック うちの仔なら SIO ですかね
彼氏さんと同棲とか結婚とかする予定はありますか？遠距離って淋しくないですか？,寂しいって気持ちはありますけれど 毎日LINEしてくれるので安心してます(*´∀｀)-３ 同棲も結婚もする予定です\(//Д//)/
キャラシートコミッションですが 自作キャラクターのリメイクのを描いて頂くのは、可能でしょうか？,一応キャラクターデザインのコミッションになるので もしご自身でこんなキャラを考えてるんだけどって言うのがあれば ぜひDMにてご相談ください お力になれるように頑張りますっ
ラザウォークやフルーツ公園等のイベントってどんな感じなんですか？,山梨でのグリーティングイベントになります ラザウォークはショッピングモール内で獣化ができます
次回ののぁきゃすっていつ頃ですか？,のぁの調子が悪いのでやらないです
好きな男性にしてほしいと思うことは？,頭なでなで です！！！
クールなSIOくんの大ファンです！攻撃して欲しいぐらい好きなのですがお願いしたらしてくれますか？,え、 肉 裂かれますよ……( ˙-˙ )
何をしたら草食系で、どこからが肉食系だと思う？,手さえつなぐの恥ずかしーって人は草食系なんじゃないでしょうか わからないですけどｗｗｗ 肉食系ってチャラい人ってイメージしかないですｗｗｗ
ケモナーさんは男性ばっかに見えますが、女性のケモナーさんって誰がいますかね？,なかなか女性ではいないんじゃないですかねぇ 私くらいしか←オイ
オーナーさんだけが知っているSIOくんの弱点や苦手なことをこっそり教えてください(*´ω｀*),うーん、SIOの弱点…胡椒？ｗｗｗｗｗｗ
今年も残すところあと少しですがやり残したことはありますか？,やり残したこと…色んなことを全力で楽しむことですかね？
好きな人となかなか会えず、連絡もあまり取れないのですが、こんな時どうすればいいのでしょうか…？,それはとっても悲しいですね(´TωT｀) もし可能であれば 相手に思いをつたえるのもいいと思います 寂しい 連絡が欲しい という甘えも必要だと思います！
着ぐるみの視界はどこにあって、どのくらい見えているんですか？,普通に目から見えます ただ その仔によっては 見えにくい 見えやすいは変わってきます
イラスト以外で、得意なことはなんですか？,ハンドメイドですかねぇ 今は着ぐるみメインになってしまって全然やってないですけどっ
ケモノ野球大会とかありそう…,球技嫌いなのであっても参加しません(๑ ᴖ ᴑ ᴖ ๑)
スタミナがあるのは誰？,ねろさんが選んだのはこの人！ Flareon-01（ガブ&amp;ライカ）
のぁちゃんは何のお菓子が好きですか？,のぁは粉系を使った 柔らかいお菓子が好きですね！ バウムクーヘンとか カップケーキとか！
画像調べて行ったんですが ねろさんと良く一緒にイベント行ってた？？白色の背が高い子は今回参加されないのですか？,キラくんのことでしょうか？ 今回キラくんは急用のためお休みになってしまいました… 楽しみにしていた方には申し訳ないです( o̴̶̷᷄﹏o̴̶̷̥᷅ )
精神的に子どもな人を 大人にする方法を教えてください。,人の性格ってきっかけがない限り変わらないと思います。 精神的に子供なら尚更難しいですね
津久井湖グリとありますが、これはオファーをもらったものなのですか？,主催者様は私ではないので その主催者様からのお誘いです
のぁちゃんとSIO君はサンタさんに何をお願いしますか？,のぁはたらこおにぎりをお願いしたよ！ オレサマ八 モットツヨイチカラヲ テニイレタイゾ……アト アイスキャンデー。
ねろさんって中身男だったんだ〜〜,( *˙ω˙*)و ｸﾞｯ!
のぁキャスにねろさんやSIO君が登場する可能性はありますか？,素になるとねろが出てきますｗｗｗ
彼氏さんて年いくつなんですか？,それは本人に聞いた方が……
のぁちゃんがキャスでやってみたい企画ってありますか？,特にないってのぁが仰っております
4月に彼氏さんのお家に行くとのことですが、もしやおふたりでイチャイチャしたりするんでしょうか？,仲間がいるんで仲間と3人で喋りまくると思いますｗｗｗ
苦くて甘い今を生きてますか？,アンジェラ・アキ？(´・ω・｀)
学生？社会人？どんな仕事をしていますか^_^？？,社会人でその辺の店で いらっしゃいませ〜 って言ってます(*^。^*)
彼氏さんと一緒に暮らしたいですか？？,暮らしたいです！！！
3月24日としまえんで会ったら 宜しくガウ,こちらこそよろしくฅ(&gt;ω
What is the difference between a hoppity ball and a,日本人なので日本語でお願いします( ˊᵕˋ ;)💦
好きな人から欲しいプレゼントはなんですか？ (ˆωˆ ),好きな人から貰えるならどんなものでも宝物ですよ！！✨
好きなアプリは何？一日中触ってる？,Twitterくらいしか見てないですね(´・ω・｀) パズドラとツムツムにどハマりしてた時はずっーとやってました
前の質問で「好きな方がいる」とおっしゃってましたが、その方ってどんな感じの方なんですか？,好きになるのに理由なんて要らないんですよ(❁´ω`❁)
今年参加予定の行事をすべて教えてください！！,2/17 ラザウォーク 3/2 フルーツ公園 3/29～31 ケモ遊〜べるが〜 4/28 はつじゅー会6回目 4/29 けもケット8 5/18～19 デザフェス49 10/26～27 清里ペンションオフ 詳しくはツイプロをご覧下さい
掛け声以外で意思疎通の方法はどういったことが助かりますか？,私はまだ声をかけてもらう 声をかけるなどしか意思を伝えることはしたことないですけど とある方はお絵描きボードを使ってました！ あれは便利だと思います！
ねろさんの着ぐるみの推しキャラ 5匹お答えください,5匹はいないけれど ノイック ペルネ この2匹がめっちゃ好きなんですよね(^q^)
マスクしてる時息苦しくないですか？ 呼吸穴はありますか？,マスクっていうか目出し帽のことでしょうか？ 鼻は隠れてないので苦しくないですよ わたしはストローで飲み物飲むので口も出してますｗｗｗ
スライムの着ぐるみをきましょう… ちなみに移動方法は歩きじゃなくジャンプになりますがね(地獄,なんでよりによってスライムなんですかｗｗｗ どうせ着るならいっかくうさぎがいいです
モネちゃんの尻尾を振る動画を上げていただけますか？,垂れ下がってるので振れるかは微妙ですが 頼んでみます
強引に攻めるSIOやお胸触ったりと表では見られないR18系イラスト、ひそかに楽しみにしてます（過激なことも）,うわぁぁああ｡ﾟ(ﾟ^ω^ﾟ)ﾟ｡ ありがとうございます！ SIOはプレイボーイなんです！ 許してあげてくださいイイいい
今まで誰にも言ってない秘密を教えて！,秘密は特にないですよー！ まぁ秘密と言うより言わなくてもいいだろうってなってることが多いですｗｗｗ
気が合うタイプと気が合わないタイプおしえて！,うーん それはそれぞれだし会って話してみないと分からないことですなぁ(´・ω・｀)
着ぐるみの頭はどうやって外れないようにしてますか？,ちゃんとフィットするように作られてるのでそう簡単には外れないと思います😅 どうやったら外れないとかはないですね キャラによっては胴体とくっつける仕様もあります もし着ぐるみに興味がありましたら着ぐるみ製作所や作っている個人の方に色々聞いてみるといいかもしれないです(●︎´▽︎`●︎)
浮気は最低な行為だと思いますか？,むしろ最低以外に何があるのか…… 最低かどうかは された側とする側の気持ち次第だと思います 私は 最低だと思いますけど
毎日のぁちゃんが家に降臨してくれるようおなじまいをかけてますがまったく効果がありません꒰⁎×﹏×⁎꒱,お部屋にタラコおにぎりをたくさん置けばきっとのぁが来てくれるはずです！！！
彼氏に本気でキレた事はありますか？,まず、ブチギレる要素がないので……(￣▽￣;) 私がキレてる時は本気で嫌いな人だけです(❁´ω`❁)
夜更かししてる子がいます なんて言いますか？,早く寝なさーい！っていいますｗｗｗ
金に心を奪われてますか？,きっと誰しもがそうだ
心に響いた名言は何ですか？,わたしがグッときたなって思う台詞はみんな名言になるのであった 〜完〜
自分の両親の事は好きですか？,なんとも言えないですね(´・ω・｀)
今一番行ってみたい場所は？,寿司屋ヾ(⌒(ﾉｼ ^q^)ﾉｼ
自分自身が着ぐるみになれたら誰になりたいですか？,もちろん ノイック！！
わざわざ山梨からとしまえんに 来るって大丈夫ですか？,そんなにいうなら 連れてっておくれよ(๑ ᴖ ᴑ ᴖ ๑)
遠距離カップルってうまくいくと思いますか？？,うーーん… うまくいくかどうかはお互いの気持ち次第ですね( ˊᵕˋ ;)💦 確かに遠距離って不安になりますよね…… 相手のことを信じ会える日を楽しみにして 一日一日を乗り越えていけばいいと思いますよ！
のぁちゃん 移動は車ですか？ (電車では運ぶの大変です),地元でしたら お仲間さんがお迎えに来てくれるんですけど 県外なら電車で行きますっ！
着ぐるみ着る時、下はどんな格好しますか？,スポーツインナー着てます！
ケモナー同士で家族を構成してください,父：@KyuAiri 母：@atsuyasu0802 兄：@ark_narukuru 姉：@kemoradi_2nd 妹：@moonnightwolf 弟：@fiatan_braixen 炊飯器：@kei_matsukei
ฅ(´ω` ฅ)ﾆｬｰ,にゃーฅ(&gt;ω
着ぐるみはいつも着てるんですか？,休みの日はたまーに着てます！
タピオカミルクティーの魅力を教えてください。,タピオカもミルクティーも好きじゃないんで 私にとっては魅力はないです(´・ω・｀)
意見を言い合って喧嘩するカップルの方が長続きしやすいらしいけど 彼氏さんと喧嘩した事ある？,自分はこう思ってるってことは言ったことはありますけど 喧嘩はないですね(´・ω・｀) 喧嘩するの嫌いなんで
質問箱の回答率100って凄いよね( &#39;ω&#39;),質問されてるから答える義務があるっ
直接リプライするの恥ずかしいのでキャスの質問を質問箱に入れても大丈夫ですか？,お！ぜひぜひ！！
めっちゃ会いたい ぎゅーしたい ストレス溜まりすぎて死にそ,私も最近ストレスなのか吐きそうです……_(:3｣ ∠ )_ 会ってお話しましょうっ(❁´ω`❁)
子どもは好きですか？,表ではあんまり言えないですね(￣▽￣;)
彼氏さんのどんなところが好きですか？？,話していて楽しいし 面白いし 色んなことをなんでも話せて心が許せるところです！ 他にもいろいろあるんですけど言葉では表せないくらい大好きですっ(///∇///)ゞ ほんとに幸せって感じるので
お話してた綿ってなんですか？ 無知でごめんなさい,うーん説明しにくいですが 自分の仔(着ぐるみ)を他人が着ることですね 説明会下手なのでこれであってるのかはわからないですが すみません…(^_^;)
yes、前に進もう！！,oh!yes！
ポテトサラダにマヨネーズを更にかけちゃいます？,ポテトサラダもマヨネーズも好きではないのでまず食べませんｗｗｗ
デザイン提供したのにディスられたらどうする,それはデザインされたキャラがディスられるのか デザインした者がディスられるのかどっちなのかわかりませんが キャラの方がディスられるのは悲しいですね… 私なんて別にディスられたって構いません キャラを大切にしてくれれば
しゅき,わたしもいっぱい しゅき ですよ(///∇///)ゞ
どんなエッチが好きですか？？,ストレートすぎぃぃぃぃ 雰囲気が大事ですよ✨
チェーンメールが来たことありますか？,のぁ｢そういえばオーナーさんがガラケー？って言う機会使ってる時は流行ってたって言ってたよ！｣ SIO｢チェンメル、、ッテナンダ？｣
セクシーなけものキャラといえば？,うーん、 細いキャラならそう思うかもです ぷりゅむちゃんかな
のぁだよぉ？,のぁだよぉ？？(๑ ᴖ ᴑ ᴖ ๑)
連続の質問ですみません。 そのイベントは一般の人でも着ぐるみの皆さんと一緒に写真を撮ったりできますか？,グリーティングになりますので 一般のお客様もいらっしゃいます キャラと写真を撮ったり握手をしたり ハグもできます
獣化の瞬間ですね,一瞬すぎて見えないです(๑ ᴖ ᴑ ᴖ ๑)
ねろさん 優しくて憧れます！,ぇえええ😭 優しいだなんて 何かの間違e(殴
未成年ですか？,未成年なんてとっくに過ぎ去っていきました……0(:3 _ )～ でも未成年にみえるのかな？？？
小さい頃に遊んだおもちゃはどんなのでしたか〜？,ハム太郎のハムハムハウスみたいなやつｗｗｗ
337拍子で自分の良い所を教えてください。,むしろ教えてください(´・ω・｀)
好きな萌えキャラはいますか？,萌えキャラってなんですか。(´・ω・｀)
いつもありがとう... もっと近くにいられたらいいのにな( ´･ω･`),感謝されることなんて何もしてないですよ(❁´ω`❁) わたしももっと近くにいたいです……
着ぐるみにメガネつけたら頭良さそうに見えませんか？,見えると思いますが 人間用のは壊れると思います(；´Д｀)
いつもイラストのリクエストにお応え描いて頂きありがとうございます！ なにかお礼がしたいです！,むしろリクエストもらってる側なのでお礼なんてファボで充分です(´；ω；｀) こちらこそありがとうございます！
今年 大学生になります！ ねろさんに着ぐるみの中身 頼まれたいです！,？？ 私のキャラの綿をやりたいということでしょうか？(´・ω・｀) 私より身長が低くないと出来ないですよ🤔
キャラクターさんに好き好き言ってたら、オーナーさんが言い寄ってきて困ってます。キャラ好き≠オーナー好き,はっきり言って キャラもオーナーさんも好きなんでしょうが それが恋愛に発展するかどうかは別物です あんまり言いたくないかもですが 迷惑ならキッパリ断った方がいいです それが原因でイベント行けなくなるのは辛いです。
amazon欲しいものリストに本名っぽいものが載ってますけど大丈夫ですか？,……えっ？！ ほしい物リスト作ったの初めてなので他の人から見るとどんな感じで表示されるのか分からないのです( o̴̶̷᷄﹏o̴̶̷̥᷅ )
アダ名は何ですか？,ふつーに…………ねろ ( 　˙-˙　 )
自分の子以外で この子は絶対おすすめ！ 私の推しキャラはいますか？（複数でも,推しキャラいすぎて選べないので 界隈に入る前に 可愛い！ すごい！ 会ってみたい！ って思ったキャラを3匹… 悪魔猫 チェルナちゃん ととまるくん です！ みんな猫ですねｗ 今は推しキャラいすぎてもう推しではなくなってます0(:3 _ )～
自撮りみたい。,見たら呪われちゃうよ😇
身長は何センチですか！？,148cmです
夏はどれくらい汗かきますか？！,まだのぁをお迎えして1年しか経ってないので昨年の夏を思い出すと…… 結構びっしょりになります とくにのぁは着るあんこ(綿を着てる)なので結構暑いです！ でもその暑さを経験してどんなふうに工夫したらもっと長くキャラを出せるかなど考えてます！
甘い物大好きですか〜？ ケーキとかクッキーとかのスイーツ系！ 私も大好きです〜♪,最近甘いものが食べたくて仕方ないですね！！ ストレスですｗｗｗｗｗｗ
GT-R,GT-R？？車のこと？(´・ω・｀)
着ぐるみ来てて熱中症になった、なりかけたことってありますか？,ありますよ(´・ω・｀)
彼氏さんと結婚の約束はしていますか？,お互いに余裕が出来たらいろいろ話し合いたいですね( ◜௰◝ ）
推しの子は誰でしょうか？？,ノイックとペルネです
初体験のときは痛かったですか！？ (ヽ´ω｀),痛かったですよ(⑉￢ᴗ￢⑉)
4足歩行の着ぐるみを来てみたいと思いますか？,うーん、体力的にキツそう……なのであんまり思わないですね(；´Д｀)
ドSなSIOくんとエッチしてみたいですか！？(／≧ω＼),はいっ！したいでｓ!!っ(殴
幸せの定義を教えてください！,私の方が教えて欲しいくらいです
恋人と喧嘩したら、どんな感じ？ どうやって仲直りする？,喧嘩するならスッキリするまでギャーギャー騒ぎますｗｗｗ 仲直りする時は素直に謝ります(´・ω・｀)
喧嘩した相手が泣いて謝ってきたら あなたは許しますか？,どれくらいのレベルかの喧嘩によりますけど 泣いて謝るってことは相当反省してるってことなので許すかもしれません
